"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2010-01-01",,"35","26"
"USW00014739","BOSTON, MA US","2010-01-02",,"30","21"
"USW00014739","BOSTON, MA US","2010-01-03",,"31","17"
"USW00014739","BOSTON, MA US","2010-01-04",,"35","26"
"USW00014739","BOSTON, MA US","2010-01-05",,"34","27"
"USW00014739","BOSTON, MA US","2010-01-06",,"34","24"
"USW00014739","BOSTON, MA US","2010-01-07",,"41","27"
"USW00014739","BOSTON, MA US","2010-01-08",,"29","21"
"USW00014739","BOSTON, MA US","2010-01-09",,"27","13"
"USW00014739","BOSTON, MA US","2010-01-10",,"28","11"
"USW00014739","BOSTON, MA US","2010-01-11",,"36","17"
"USW00014739","BOSTON, MA US","2010-01-12",,"34","16"
"USW00014739","BOSTON, MA US","2010-01-13",,"30","14"
"USW00014739","BOSTON, MA US","2010-01-14",,"33","21"
"USW00014739","BOSTON, MA US","2010-01-15",,"46","31"
"USW00014739","BOSTON, MA US","2010-01-16",,"48","32"
"USW00014739","BOSTON, MA US","2010-01-17",,"41","31"
"USW00014739","BOSTON, MA US","2010-01-18",,"34","31"
"USW00014739","BOSTON, MA US","2010-01-19",,"36","31"
"USW00014739","BOSTON, MA US","2010-01-20",,"37","31"
"USW00014739","BOSTON, MA US","2010-01-21",,"41","28"
"USW00014739","BOSTON, MA US","2010-01-22",,"37","25"
"USW00014739","BOSTON, MA US","2010-01-23",,"33","23"
"USW00014739","BOSTON, MA US","2010-01-24",,"41","25"
"USW00014739","BOSTON, MA US","2010-01-25",,"57","37"
"USW00014739","BOSTON, MA US","2010-01-26",,"52","35"
"USW00014739","BOSTON, MA US","2010-01-27",,"43","32"
"USW00014739","BOSTON, MA US","2010-01-28",,"37","20"
"USW00014739","BOSTON, MA US","2010-01-29",,"21","10"
"USW00014739","BOSTON, MA US","2010-01-30",,"22","6"
"USW00014739","BOSTON, MA US","2010-01-31",,"29","13"
"USW00014739","BOSTON, MA US","2010-02-01",,"35","22"
"USW00014739","BOSTON, MA US","2010-02-02",,"31","24"
"USW00014739","BOSTON, MA US","2010-02-03",,"33","25"
"USW00014739","BOSTON, MA US","2010-02-04",,"34","25"
"USW00014739","BOSTON, MA US","2010-02-05",,"35","22"
"USW00014739","BOSTON, MA US","2010-02-06",,"25","18"
"USW00014739","BOSTON, MA US","2010-02-07",,"34","14"
"USW00014739","BOSTON, MA US","2010-02-08",,"33","22"
"USW00014739","BOSTON, MA US","2010-02-09",,"41","23"
"USW00014739","BOSTON, MA US","2010-02-10",,"36","29"
"USW00014739","BOSTON, MA US","2010-02-11",,"40","29"
"USW00014739","BOSTON, MA US","2010-02-12",,"39","25"
"USW00014739","BOSTON, MA US","2010-02-13",,"38","23"
"USW00014739","BOSTON, MA US","2010-02-14",,"41","27"
"USW00014739","BOSTON, MA US","2010-02-15",,"40","30"
"USW00014739","BOSTON, MA US","2010-02-16",,"34","30"
"USW00014739","BOSTON, MA US","2010-02-17",,"37","28"
"USW00014739","BOSTON, MA US","2010-02-18",,"46","33"
"USW00014739","BOSTON, MA US","2010-02-19",,"43","31"
"USW00014739","BOSTON, MA US","2010-02-20",,"50","34"
"USW00014739","BOSTON, MA US","2010-02-21",,"42","32"
"USW00014739","BOSTON, MA US","2010-02-22",,"46","30"
"USW00014739","BOSTON, MA US","2010-02-23",,"40","33"
"USW00014739","BOSTON, MA US","2010-02-24",,"42","36"
"USW00014739","BOSTON, MA US","2010-02-25",,"45","37"
"USW00014739","BOSTON, MA US","2010-02-26",,"44","34"
"USW00014739","BOSTON, MA US","2010-02-27",,"40","31"
"USW00014739","BOSTON, MA US","2010-02-28",,"38","29"
"USW00014739","BOSTON, MA US","2010-03-01",,"48","34"
"USW00014739","BOSTON, MA US","2010-03-02",,"43","36"
"USW00014739","BOSTON, MA US","2010-03-03",,"38","34"
"USW00014739","BOSTON, MA US","2010-03-04",,"36","33"
"USW00014739","BOSTON, MA US","2010-03-05",,"42","31"
"USW00014739","BOSTON, MA US","2010-03-06",,"57","31"
"USW00014739","BOSTON, MA US","2010-03-07",,"57","37"
"USW00014739","BOSTON, MA US","2010-03-08",,"59","42"
"USW00014739","BOSTON, MA US","2010-03-09",,"53","37"
"USW00014739","BOSTON, MA US","2010-03-10",,"44","33"
"USW00014739","BOSTON, MA US","2010-03-11",,"45","35"
"USW00014739","BOSTON, MA US","2010-03-12",,"44","39"
"USW00014739","BOSTON, MA US","2010-03-13",,"41","39"
"USW00014739","BOSTON, MA US","2010-03-14",,"44","40"
"USW00014739","BOSTON, MA US","2010-03-15",,"44","38"
"USW00014739","BOSTON, MA US","2010-03-16",,"50","36"
"USW00014739","BOSTON, MA US","2010-03-17",,"65","35"
"USW00014739","BOSTON, MA US","2010-03-18",,"66","48"
"USW00014739","BOSTON, MA US","2010-03-19",,"61","43"
"USW00014739","BOSTON, MA US","2010-03-20",,"72","45"
"USW00014739","BOSTON, MA US","2010-03-21",,"54","41"
"USW00014739","BOSTON, MA US","2010-03-22",,"43","41"
"USW00014739","BOSTON, MA US","2010-03-23",,"46","42"
"USW00014739","BOSTON, MA US","2010-03-24",,"52","40"
"USW00014739","BOSTON, MA US","2010-03-25",,"65","39"
"USW00014739","BOSTON, MA US","2010-03-26",,"53","30"
"USW00014739","BOSTON, MA US","2010-03-27",,"34","25"
"USW00014739","BOSTON, MA US","2010-03-28",,"48","29"
"USW00014739","BOSTON, MA US","2010-03-29",,"54","45"
"USW00014739","BOSTON, MA US","2010-03-30",,"50","44"
"USW00014739","BOSTON, MA US","2010-03-31",,"47","43"
"USW00014739","BOSTON, MA US","2010-04-01",,"55","44"
"USW00014739","BOSTON, MA US","2010-04-02",,"55","41"
"USW00014739","BOSTON, MA US","2010-04-03",,"76","46"
"USW00014739","BOSTON, MA US","2010-04-04",,"77","50"
"USW00014739","BOSTON, MA US","2010-04-05",,"72","49"
